Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
"Isoform 2 of Heat shock protein 75 kDa, mitochondrial"	TRAP1	23.58038	22.77608	21.48372	23.14091	19.8283	22.67764	20.33236	23.53243	22.46842	22.04567	23.11126	18.66842	19.55546	22.69453	23.15549	23.3152	22.14065	22.65334	22.70543	20.00304	22.19283	22.45215	23.88306	22.79909	20.08165	23.02814	24.23578	23.89649	23.67379	23.2081	23.43069	23.69029
Ankyrin-3	ANK3	22.23684	20.52419	22.80474	23.38226	22.40868	21.20013	20.66536	22.47289	22.13824	19.45614	19.10025	23.13597	19.86513	20.71301	19.77206	22.72019	20.60945	20.00172	22.98761	23.11005	22.73278	22.44796	22.48318	23.10794	20.63917	18.62786	21.65429	23.86634	23.09412	23.41041	22.98067	23.21312
Isoform 8 of Disks large homolog 1	DLG1	20.91823	20.83136	21.28116	19.28349	19.8573	20.78104	21.24829	19.55339	20.81511	21.33625	20.75191	19.74315	21.46124	21.34627	18.92693	20.86512	20.06034	18.73575	20.80753	20.93005	21.30719	20.58976	17.54333	19.35471	20.73727	19.4496	21.57911	20.32167	20.31926	21.43237	20.60729	22.91265
Isoform 4 of Active breakpoint cluster region-related protein	ABR	19.48049	18.91471	19.95832	22.25869	23.80872	23.65064	20.96756	23.33451	24.50319	23.82516	24.25412	21.58747	24.31026	24.86614	24.99939	25.39575	21.64456	23.33892	24.42087	24.15492	24.29021	25.65091	24.93413	25.13488	21.88717	19.80947	24.2541	23.73049	24.33086	24.44164	24.66648	24.66088
Cleavage stimulation factor subunit 3	CSTF3	17.88454	18.64382	21.62915	23.41303	20.00021	20.41804	20.99817	20.78744	21.22035	19.94699	20.92975	21.24039	19.24243	20.97428	19.95561	20.22922	21.97648	20.10147	20.96384	19.20309	19.99971	20.98099	18.41749	19.79902	20.26275	20.14656	22.83406	22.08768	20.86793	22.82415	21.4585	20.88226
"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	ECH1	25.48051	22.95835	25.07488	25.47793	25.28641	24.73543	25.85522	25.82382	25.40473	21.61189	25.04153	25.32145	25.30866	24.84192	25.47158	24.83592	25.54355	22.15827	24.45985	24.56972	24.67128	24.67395	25.06223	25.03426	26.08626	23.14111	25.17021	24.96801	25.05061	24.52058	25.53444	25.37321
Protein AF1q	MLLT11	22.11753	22.09467	21.10714	22.86387	22.89462	20.29071	21.9346	22.05691	21.5647	22.5815	21.07065	18.29594	20.97547	20.64043	20.86755	20.08838	22.37217	22.62178	20.51105	20.65967	21.14469	21.2131	19.99734	22.13476	23.19939	23.4553	22.7835	23.27226	23.41587	24.19252	23.02718	23.28356
Isoform Alpha of Striatin-3	STRN3	18.90985	20.85042	19.66365	20.21491	22.46034	19.6771	21.63285	20.66791	20.53655	18.49903	19.83434	20.96469	21.04405	23.32882	23.89171	19.63029	18.91828	22.85536	19.49784	24.02606	19.60195	23.50906	23.1781	19.66895	19.79664	19.15561	19.26118	20.03842	22.98975	23.4706	22.59532	19.24503
Serine/threonine-protein kinase 4	STK4	22.44564	22.41199	22.54123	18.89408	21.9406	22.23798	21.13906	22.75446	22.25309	22.0497	22.3019	22.58978	21.50741	22.30565	20.42349	21.66766	22.44875	21.57823	21.74956	22.56927	21.49367	21.69956	18.57926	21.88309	21.15767	23.32382	21.73426	19.91386	22.9646	22.86814	20.37222	21.74421
Isoform 2 of Protein flightless-1 homolog	FLII	21.08184	21.86876	21.22046	21.87909	20.74546	20.24394	21.70034	20.54165	21.98713	22.01701	21.63032	21.49667	21.59397	22.46049	21.78366	20.94712	21.21106	21.67567	21.98702	22.62881	21.66491	22.8553	21.69448	21.2238	19.46609	21.72692	21.71304	22.86861	19.8	22.41303	21.31987	21.40703
Isoform 3 of Acetyl-CoA carboxylase 1	ACACA	24.26877	23.44955	23.46371	23.93786	23.33409	22.24294	24.17145	23.91519	24.68759	24.08071	24.79889	23.88431	24.60205	24.66709	25.02669	23.32505	24.7032	24.5928	24.66743	24.86614	24.52404	24.82294	24.72861	24.15709	23.53966	24.62271	25.43172	24.78769	25.25054	24.9924	25.13905	23.76659
"IK cytokine, down-regulator of HLA II, isoform CRA"	IK	21.27	21.22606	22.01522	22.78741	20.99586	21.30563	22.8469	19.3726	20.6707	21.14215	19.47981	20.76515	19.03986	20.55943	19.56428	18.40154	22.28074	21.16853	19.80176	21.20562	19.7127	21.81706	20.27947	21.12673	21.91645	21.43847	21.48146	21.9989	20.9399	20.55417	20.03	18.32397
S-methyl-5-thioadenosine phosphorylase	MTAP	23.37432	23.76355	23.22947	24.48788	24.06166	20.77716	22.19908	18.41577	23.41615	23.31694	22.19087	23.55096	22.5087	22.33369	22.7422	20.41359	21.65098	22.35539	21.84273	23.0511	21.36602	21.30905	21.392	20.73727	19.6485	21.78125	21.67342	22.21191	21.57062	22.49015	21.06079	21.28212
5-AMP-activated protein kinase catalytic subunit alpha-1	PRKAA1	21.8682	22.23436	21.58763	21.91718	21.91061	21.76876	21.80335	22.00699	22.9267	22.33428	22.76813	22.37219	22.28821	22.19144	23.41485	22.06882	21.56882	22.40992	22.6705	22.72753	22.06218	22.44944	22.60859	22.10508	19.65744	22.02777	22.32206	22.58511	22.02345	22.27277	22.38459	22.15216
TAR DNA-binding protein 43	TARDBP	25.44202	25.85708	26.68446	26.82796	26.38049	25.38818	23.71149	23.95368	25.18942	25.49121	24.77647	25.07168	23.91306	23.86674	22.78024	22.20093	25.35384	24.40069	25.37414	21.41154	24.24616	23.14536	21.47169	22.67558	24.85147	25.2077	26.66968	26.26593	25.73008	25.60437	24.89349	24.71976
Heterogeneous nuclear ribonucleoprotein A0	HNRNPA0	27.29975	27.34713	28.12506	28.04959	27.32142	27.11434	26.48439	25.9394	26.53734	26.14709	24.33743	26.75446	24.89882	23.53417	22.20026	22.41282	27.72315	26.11587	24.34614	25.64429	24.72027	23.27135	23.03926	23.44615	27.62246	26.92814	27.2572	27.69958	26.2639	26.1879	26.387	25.59542
Peroxiredoxin-4 (Fragment)	PRDX4	20.30959	20.90474	24.87962	25.68929	24.12054	24.09039	19.79396	23.28193	24.16438	20.83019	24.16496	24.29538	23.7546	23.86019	23.08089	21.56746	21.99172	21.01085	24.56399	24.21915	23.50833	23.52647	23.21298	22.6644	20.63993	22.47885	24.01769	24.2712	23.25589	23.48062	23.46239	23.489
Serine/threonine-protein kinase PAK 2	PAK2	26.58118	26.80158	26.62899	27.08837	27.40131	26.94795	25.66059	25.30903	26.3271	26.76073	26.60325	27.18676	26.28082	26.44257	25.8929	25.76188	26.26749	26.42815	26.66426	27.09103	26.13029	26.10691	25.90002	25.82847	25.24119	26.11587	26.02414	26.35494	25.95515	25.98445	25.36047	25.65004
Chromobox protein homolog 3	CBX3	26.29535	26.48862	27.46964	26.80538	27.04432	27.07881	24.83572	23.25644	25.12738	24.38487	24.41368	25.73063	24.38278	24.03182	22.76467	22.77738	24.84371	24.43454	24.17394	24.23993	23.65413	23.78885	22.53148	22.43497	25.51653	24.65451	26.23258	26.23776	25.5429	25.66596	24.80737	24.13049
26S proteasome non-ATPase regulatory subunit 2	PSMD2	26.9032	26.28626	27.00906	26.68906	26.36278	26.41805	26.88142	26.65507	26.99574	26.4781	26.64581	27.01829	26.72011	25.97518	26.27904	25.78858	28.10862	26.6743	26.5042	26.66269	26.02095	26.29394	26.39614	26.00043	27.60225	27.25091	27.10098	27.06089	26.82308	26.86009	26.45343	26.60838
Selenium-binding protein 1	SELENBP1	23.02063	24.36451	23.38291	24.92775	24.67158	23.75676	26.61941	27.50003	23.13099	23.39904	22.52368	23.98021	22.91595	23.46241	24.065	24.02608	24.19124	22.70713	22.9174	21.67086	21.97523	22.50465	22.34978	23.28247	25.52242	25.53828	22.41276	23.17207	21.78881	22.68819	23.77313	23.29628
Nucleoside diphosphate kinase	NME3	22.12685	23.21642	22.04553	22.81542	22.69951	21.68684	24.13573	24.14272	22.90949	22.71689	23.18189	22.85791	23.35894	23.76593	23.95108	23.09199	24.25312	23.4024	22.98226	23.39929	23.38104	23.87118	23.70047	23.17442	24.52003	23.86061	23.27297	23.95208	23.83471	24.02753	23.5482	23.77478
Serine/arginine-rich splicing factor 9	SRSF9	27.04054	26.81543	26.37103	25.95728	27.09241	26.29181	26.7714	25.9373	25.81094	24.17354	23.44882	23.99236	24.68961	22.25812	23.77409	22.0821	26.36507	25.36593	23.05796	24.23863	23.26627	19.6515	23.41508	22.4558	28.49533	25.8868	25.22707	24.9221	25.67264	24.65222	25.42752	24.7169
Isoform SRP55-3 of Serine/arginine-rich splicing factor 6	SRSF6	28.00141	26.39976	27.20221	23.48412	26.61575	25.72755	24.53592	23.79985	25.42131	23.49343	22.37365	21.84612	23.08808	21.75467	21.97319	21.71415	27.24846	25.7474	22.49278	22.10455	23.07314	21.48104	22.17793	22.77054	25.74832	24.43077	26.23455	24.04039	26.2198	22.85406	25.64214	23.05975
Mitotic spindle assembly checkpoint protein MAD2A	MAD2L1	24.0978	23.36112	23.5037	23.5116	23.74106	22.79846	19.95657	20.88381	19.62947	19.39174	21.36928	20.69173	23.96402	23.35716	19.81953	19.76379	21.27818	21.98395	19.94761	23.82716	19.65522	20.46636	19.51061	20.55379	20.32421	20.04427	19.56739	20.02198	21.56486	20.44211	18.45735	19.45296
Transcription intermediary factor 1-beta	TRIM28	26.88474	27.06726	27.55984	27.76285	27.06008	26.89682	22.0253	24.19067	25.98229	26.36139	24.91229	27.25094	24.84029	24.72712	20.51003	22.77597	24.22525	26.03081	24.94349	25.92392	24.10479	22.52712	21.46742	22.67178	24.07586	26.00679	27.16592	28.05518	26.36295	25.89017	25.21746	25.92757
Ras GTPase-activating protein-binding protein 1	G3BP1	25.45314	24.48441	24.97893	23.41146	24.55422	24.10861	20.76919	19.87783	23.30928	22.87813	22.29141	22.3217	21.92954	19.98118	20.14271	21.11965	21.34369	23.0362	21.58348	21.27219	22.00942	19.82254	21.46129	20.54086	22.12888	22.01242	23.80519	23.24522	22.89386	21.35725	21.0221	21.46511
Isoform 3 of Voltage-gated potassium channel subunit beta-2	KCNAB2	21.70426	22.901	22.36119	23.25571	22.67334	18.83967	22.57053	19.15744	20.09477	22.58663	19.93635	20.44243	20.24755	21.9243	19.86974	21.14794	19.54305	19.75527	18.86291	20.65215	19.65749	21.00234	19.98767	18.80151	20.89018	19.40112	18.65705	19.47487	19.92638	20.02088	21.30229	20.07128
Inactive tyrosine-protein kinase 7	PTK7	23.43889	23.02873	22.75414	21.11401	22.83472	22.32605	20.50294	22.19764	23.07573	22.75512	22.06291	21.41362	22.36765	22.37757	21.47723	22.51666	21.35999	22.2194	22.29343	21.03387	22.28331	21.59735	21.86996	21.56701	22.28159	21.95007	21.54268	20.197	22.30092	21.67035	21.79969	21.40803
"Poly(A) binding protein, cytoplasmic 4 (Inducible form), isoform CRA"	PABPC4	22.21983	21.217	21.47079	21.87016	21.31723	21.1341	23.60193	25.69887	22.01454	23.51584	22.34676	21.78251	20.9014	20.29443	20.37308	20.35143	27.03375	21.53625	22.38363	21.37779	21.74281	19.54864	20.41256	20.73333	26.98239	26.48985	24.48558	24.30177	22.15818	22.28289	22.93296	21.6007
Receptor-type tyrosine-protein phosphatase S	PTPRS	24.58622	24.25933	19.89437	20.81674	23.382	23.27882	25.27125	25.12368	25.31876	26.15229	25.55583	24.98064	26.42236	25.29421	27.36712	26.72482	25.65632	26.10176	25.17426	24.23409	25.69991	25.47203	26.51806	25.76266	23.78587	22.82699	22.86138	23.81881	23.33357	23.34144	24.61794	24.72773
Eukaryotic translation initiation factor 3 subunit I	EIF3I	23.16505	23.22805	21.6258	24.43404	21.73317	22.53136	23.86743	22.79731	22.85351	23.12236	22.42662	23.98061	22.41121	22.72478	21.97984	20.65125	23.10313	22.51943	22.36242	23.472	22.05056	22.99889	22.23032	22.14669	24.22656	23.32749	23.15821	24.77222	22.96063	24.8949	23.29562	23.23326
Isoform 2 of C-terminal-binding protein 1	CTBP1	24.78553	25.30036	25.30215	27.02938	25.54063	26.34467	24.67526	25.53445	25.29281	24.11959	25.03196	25.9472	24.61439	25.07288	23.70911	24.56718	26.48759	24.90067	25.86091	25.40866	24.89343	25.45062	23.79627	24.74138	23.03557	26.34666	27.17327	27.26197	25.88675	26.57371	25.67772	25.52004
AP-3 complex subunit beta-2	AP3B2	22.936	23.01766	23.13789	23.80656	22.72726	22.72983	19.32101	26.1499	24.07271	23.73555	24.34351	24.11896	23.91375	23.06153	24.5588	24.35863	23.92393	24.66982	24.62363	25.28459	24.46291	23.53321	24.46001	24.78651	23.64988	25.02914	24.42314	25.00582	24.55488	24.08016	24.40217	24.79113
Ubiquitin-conjugating enzyme E2 variant 1	UBE2V1	21.58952	24.66287	24.15527	24.20396	25.07782	24.0687	23.25897	23.38847	24.34982	23.56546	24.81171	24.87036	24.02902	25.37091	24.26435	24.98177	23.42534	24.01925	25.02301	25.23994	24.02103	25.53498	24.43116	24.32037	22.65565	20.23965	24.87232	24.33717	23.88291	24.77759	24.06972	24.20791
"39S ribosomal protein L49, mitochondrial"	MRPL49	22.37397	23.27409	22.14029	22.60114	22.7842	23.18362	19.43192	19.89771	22.06814	22.68453	20.10017	22.18668	20.50075	21.4013	22.10399	20.02084	20.52971	21.74911	18.93552	19.14528	22.25497	21.24966	22.3916	19.73822	22.08585	20.02007	22.31722	22.68093	21.9691	22.97526	21.86522	22.14093
Isoform 2C of Cytoplasmic dynein 1 intermediate chain 2	DYNC1I2	26.59278	26.09361	26.82365	26.18338	26.738	27.02763	25.30541	24.86608	26.06384	25.69955	26.32875	26.289	26.03442	26.63573	25.08988	25.88001	25.02699	25.97457	26.17249	26.50661	26.27218	25.96544	25.60527	25.6394	25.35941	25.28439	25.83947	25.85824	25.6826	26.0883	25.2663	25.71781
"NAD(P) transhydrogenase, mitochondrial"	NNT	24.91006	25.27804	25.30599	25.55575	24.75752	25.9756	25.06809	26.50605	25.8989	26.00601	24.78799	25.54391	25.52773	25.87543	26.25342	25.72822	26.16604	25.44635	25.48282	26.27666	25.75914	25.85557	26.14768	26.18647	24.72695	26.41648	25.87522	26.30024	26.26818	25.71587	26.12106	26.70494
Splicing factor 3B subunit 2	SF3B2	24.6772	25.39756	26.20655	26.14841	24.57645	24.50388	24.24358	24.21764	24.24479	23.41427	23.09509	24.4091	22.95838	23.44164	22.56699	21.854	21.42365	23.66148	23.05245	23.58255	23.14003	22.94544	22.75449	21.77629	23.78097	24.16536	25.54743	25.37688	23.89012	24.15187	23.79755	23.124
28 kDa heat- and acid-stable phosphoprotein	PDAP1	24.68964	25.86147	24.8364	24.77548	25.31493	24.58626	24.1751	22.02144	24.85732	25.36106	24.27941	24.89291	24.91501	23.89843	24.05063	23.15457	24.08958	24.4021	23.70364	23.71783	23.95107	23.47079	23.72521	23.34636	24.16315	23.9779	24.28996	25.11269	23.94513	23.63791	24.00834	22.9076
Limbic system-associated membrane protein	LSAMP	26.71651	26.92189	25.4622	25.08149	26.7691	26.98226	27.22464	28.29797	26.96756	27.13317	26.67645	25.844	27.93792	27.37436	28.36007	28.76616	26.71358	27.37697	26.90733	24.05577	27.56386	27.96994	28.11902	28.72603	26.00377	26.96834	26.009	25.69889	27.0144	27.28179	28.19767	27.9836
Neuronal membrane glycoprotein M6-b	GPM6B	23.63721	23.64919	24.03568	24.63586	23.44353	24.78312	24.46488	25.15509	24.3114	24.45029	25.89407	25.76321	25.90058	26.33588	25.42591	26.63031	24.48717	25.23337	25.81428	25.63104	26.06642	25.88232	26.25042	26.4851	23.99446	24.21055	23.89281	24.10587	24.92822	25.68159	24.67504	25.73775
Isoform 3 of Phosphatidylinositol-binding clathrin assembly protein	PICALM	19.98525	22.84944	20.17622	22.29403	19.79424	20.36944	20.17041	20.86544	22.53541	23.33525	22.72333	22.5906	22.55913	19.61684	22.82831	23.18615	19.72328	22.42862	22.67041	22.84662	19.5561	20.5439	23.57068	22.46424	21.29883	23.20697	22.74009	22.42093	22.84315	19.87792	22.93302	23.12531
Tubulin beta-3 chain	TUBB3	32.83905	33.20088	32.92245	33.37073	33.26397	32.99396	33.15417	34.02303	34.07438	34.30404	34.77186	34.52637	34.58646	34.43804	34.4976	34.34013	34.09029	34.36081	34.59529	34.64505	34.48489	34.57038	34.50279	34.50706	33.77115	33.8849	34.04089	34.19234	33.92503	33.8771	33.98412	34.2254
Acid ceramidase	ASAH1	24.18861	24.31657	22.10319	23.60791	23.54525	20.77824	24.02435	25.29213	23.47413	23.3327	23.32049	20.36572	23.37848	23.32635	23.66177	23.59277	24.65841	23.16982	21.92244	23.19531	23.542	23.61008	23.45889	23.52686	23.68797	23.70398	23.2734	24.28679	24.15024	24.07195	24.36383	23.86258
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	26.82556	26.36323	24.31273	25.12871	26.01416	25.98299	25.14571	25.36559	25.92558	25.82109	25.42868	25.81159	25.65052	25.96923	25.57159	26.02373	26.60268	25.86324	25.35692	25.71218	25.32609	25.76857	25.48197	26.08638	25.21143	25.32639	25.26015	25.15355	25.09679	25.58578	25.28971	25.97801
Isoform 8 of Calcium/calmodulin-dependent protein kinase type II subunit beta	CAMK2B	24.64211	22.07238	23.38339	22.48052	22.83297	24.01593	25.16214	28.58498	23.87678	24.34064	25.11698	24.2446	25.29801	26.0655	25.83308	27.43134	25.63254	25.85262	26.01674	25.83915	25.36893	25.50136	26.4276	27.6045	25.31408	26.81376	25.68295	25.91265	26.78455	26.88245	26.29551	28.22474
Isoform 10 of Calcium/calmodulin-dependent protein kinase type II subunit gamma	CAMK2G	20.8057	21.3515	20.50193	21.40743	20.25684	20.56216	21.68659	21.83873	22.24357	22.51736	22.97192	22.74224	22.71861	22.52663	23.71841	23.49855	21.86453	22.54255	23.08686	23.04113	22.66861	22.74538	22.99459	23.30508	21.78507	21.52626	23.56607	23.79177	23.33604	23.24186	23.00402	23.42438
Isoform Delta 6 of Calcium/calmodulin-dependent protein kinase type II subunit delta	CAMK2D	23.4544	23.15527	22.67233	22.67484	24.00624	22.37849	21.8025	23.53907	23.87177	24.15557	23.19762	23.32845	23.97876	23.18401	23.64781	24.68804	23.38265	24.6301	23.98163	24.60185	24.07643	23.68207	23.55428	24.71674	21.19945	22.86926	23.6578	23.98212	23.64112	23.81065	23.94544	25.09664
Dynactin subunit 2	DCTN2	25.7504	26.18708	25.84106	27.06578	26.57324	25.59954	24.51293	24.21458	26.20012	26.85478	26.50547	26.99257	26.12069	26.24259	25.71165	25.99226	22.16816	25.66031	26.46927	27.05678	26.04377	26.87511	25.50114	25.9418	26.29278	24.38543	26.39332	27.02166	25.93117	26.33088	26.16233	26.35318
Isoform 3 of NEDD8-activating enzyme E1 regulatory subunit	NAE1	20.08906	21.58006	21.88245	23.17752	21.89841	22.74633	22.46394	22.8996	19.25671	22.35448	22.41664	23.61387	21.8562	22.72172	17.94123	20.85339	21.21679	21.12704	22.41378	22.26588	21.73121	22.87745	20.94849	21.21212	19.63143	23.22926	22.65896	23.34854	21.99007	23.231	22.41732	22.41222
SNW domain-containing protein 1	SNW1	20.02352	20.3615	22.71105	20.13455	18.89205	17.64805	19.39464	19.93933	17.54117	18.30884	19.2961	20.81745	19.51497	19.62553	20.1764	19.36765	19.24295	17.37475	19.51901	21.18059	17.60793	18.72382	19.78297	18.82518	19.56332	22.37944	17.9938	17.92423	18.45384	19.39837	17.38201	20.74198
Ras GTPase-activating-like protein IQGAP2 (Fragment)	IQGAP2	22.42311	22.90403	22.66795	24.59151	22.81846	23.58737	23.51649	22.28982	23.25556	23.10463	22.74524	24.38604	22.53258	22.97819	23.02277	18.86934	21.16232	22.41451	19.48701	22.29718	18.40079	20.17448	21.32663	19.0216	20.84635	20.13285	20.55165	18.71736	20.31947	19.83656	21.25942	19.06432
Transformer-2 protein homolog alpha	TRA2A	24.56995	24.42894	24.43005	25.65786	23.94415	24.80638	26.06343	24.92853	23.30766	23.12851	21.65255	23.47419	22.69607	23.56398	22.65255	18.84224	27.15429	23.57731	21.79277	23.33122	23.08802	17.50648	23.25048	20.22616	27.68319	25.06139	23.83141	25.58496	23.86079	24.06327	23.75647	22.56409
Cullin-1	CUL1	20.33626	19.51457	22.61223	23.24677	22.47182	22.90364	23.7793	23.91866	22.68344	21.98725	23.56953	22.75623	19.90779	22.94597	21.76491	22.51237	23.92503	21.9182	22.95966	23.05442	22.56034	23.49786	22.80116	22.66697	23.5765	23.69853	23.53066	22.86059	22.50859	23.59227	22.98462	22.93082
Cullin-2	CUL2	20.36226	20.17307	20.42325	21.90231	18.83346	20.21372	21.27625	21.72563	21.37178	20.80079	22.12574	22.54326	18.68708	21.69862	22.05174	21.42006	23.02702	20.86462	21.97579	22.43102	21.01246	22.31606	21.58473	21.49177	21.63589	22.25067	21.81412	22.00185	20.38216	22.26682	21.36779	21.66572
Isoform 2 of Cullin-3	CUL3	18.10629	22.08108	22.30438	23.26842	21.75776	22.96886	22.25934	23.29506	21.02966	21.97865	23.36518	22.83576	20.70129	19.70495	22.03466	23.15485	23.73055	19.81684	23.50215	23.58555	23.04088	23.17667	19.43534	22.49059	23.95003	22.30616	23.95609	21.97693	22.58019	22.90182	23.00347	22.99886
Isoform 3 of Cullin-4B	CUL4B	22.79479	22.16408	23.63837	21.37286	22.21011	23.467	21.16356	22.61472	22.06719	21.57521	21.55047	21.37098	21.40305	20.22541	20.54508	21.17093	23.5507	19.52932	21.52101	21.23312	21.65448	24.91728	20.86074	21.49217	20.61168	22.84575	22.94425	22.04786	22.59234	24.8746	21.85919	20.81246
GDP-L-fucose synthase (Fragment)	TSTA3	23.27743	24.39607	23.81785	23.88986	23.31558	23.49025	23.62103	23.38955	24.40201	24.00911	24.0192	24.07551	24.01633	23.63967	23.79361	23.42496	24.16413	23.58103	24.09681	23.90675	23.95368	23.90879	23.95504	23.82368	23.87402	23.76652	23.19798	23.30068	24.00539	23.56662	23.41262	23.18026
Isoform 5-HT4c1 of 5-hydroxytryptamine receptor 4	HTR4	20.30973	20.75943	19.17889	20.96463	18.61641	20.04424	20.05762	19.7359	20.21319	19.46909	19.74902	19.85108	19.06377	20.24424	19.59536	19.27653	19.01265	18.89137	21.1079	19.64753	20.27218	19.60483	20.14073	18.07419	20.11076	19.28289	21.07235	19.28888	20.21959	20.32762	20.38283	19.95292
Four and a half LIM domains protein 1 (Fragment)	FHL1	23.33526	23.45636	24.46961	23.54292	24.0634	24.12928	23.62485	23.0917	23.4238	23.50546	22.83162	23.27436	23.41882	23.70062	23.02455	23.14167	21.93947	23.05848	23.37759	23.96076	23.2829	22.90697	22.88473	22.98152	21.61504	22.38187	19.04395	18.29823	23.2563	22.9473	22.93903	22.75736
